Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G
Ke'Shawn Vaughn,RB,2,-0.32,-0.63,4,0,2.0,1.0,0%,0%,0%,SFO,3,0,0,1.3
Jonnu Smith,TE,2,-0.82,-1.64,-1,0,-0.5,3.0,50%,0%,0%,MIA,16,5,0,-0.1
Tutu Atwell,WR,2,-0.43,-0.86,7,0,3.5,1.0,0%,0%,0%,LAR,16,4,0,0.4
Jonathan Mingo,WR,2,-2.66,-5.33,5,0,2.5,0.5,0%,0%,0%,2TM,16,6,0,0.3
Jonathan Mingo,WR,2,-2.66,-5.33,5,0,2.5,0.5,0%,0%,0%,CAR,9,5,0,0.6
Jonathan Mingo,WR,2,-2.66,-5.33,5,0,2.5,0.5,0%,0%,0%,DAL,7,1,0,0.0
Treylon Burks,WR,2,-0.47,-0.93,1,0,0.5,5.5,50%,0%,0%,TEN,5,2,0,0.2
Khalil Shakir,WR,2,-0.49,-0.98,4,0,2.0,0.5,0%,0%,0%,BUF,15,9,0,0.3
Xavier Smith,WR,2,0.89,1.79,30,0,15.0,2.0,0%,50%,50%,LAR,14,0,1,2.1
Jakobi Meyers,WR,2,0.71,1.41,23,0,11.5,8.0,0%,50%,50%,LVR,14,14,1,1.6
Malachi Corley,WR,2,-2.22,-4.43,26,0,13.0,1.0,0%,50%,50%,NYJ,9,1,1,2.9
Kameron Johnson,WR,2,-0.23,-0.46,11,0,5.5,0.5,0%,0%,0%,TAM,5,0,1,2.2
Darius Slayton,WR,2,0.91,1.82,17,0,8.5,2.5,0%,50%,50%,NYG,15,12,1,1.1
Dyami Brown,WR,2,0.43,0.86,18,0,9.0,3.5,0%,50%,50%,WAS,15,2,1,1.2
Terry McLaurin,WR,2,-3.09,-6.18,2,0,1.0,1.0,0%,0%,0%,WAS,16,16,0,0.1
Cooper Kupp,WR,2,0.11,0.22,10,0,5.0,0.5,0%,0%,50%,LAR,12,11,1,0.8
Deven Thompkins,WR,2,-0.07,-0.15,7,0,3.5,2.5,50%,0%,0%,CAR,7,0,0,1.0
Amon-Ra St. Brown,WR,2,-0.32,-0.64,6,0,3.0,1.0,50%,0%,50%,DET,16,16,1,0.4
George Pickens,WR,2,-0.9,-1.81,-6,0,-3.0,4.0,50%,0%,0%,PIT,13,11,0,-0.5
Diontae Johnson,WR,2,1.02,2.04,6,0,3.0,0.5,0%,0%,50%,2TM,11,8,1,0.5
Diontae Johnson,WR,2,1.02,2.04,6,0,3.0,0.5,0%,0%,50%,CAR,7,7,1,0.9
Diontae Johnson,WR,2,1.02,2.04,6,0,3.0,0.5,0%,0%,50%,BAL,4,1,0,0.0
Brandin Cooks,WR,2,-0.83,-1.66,2,0,1.0,3.0,50%,0%,0%,DAL,9,8,0,0.2
Troy Franklin,WR,2,-0.13,-0.25,8,0,4.0,1.0,0%,0%,0%,DEN,15,6,0,0.5
Kalif Raymond,WR,2,-0.49,-0.98,0,0,0.0,1.5,50%,50%,50%,DET,11,2,1,0.0
Kadarius Toney,WR,2,-0.8,-1.61,-4,0,-2.0,0.5,50%,0%,0%,CLE,3,0,0,-1.3
Reggie Gilliam,FB,2,0.0,0.0,3,0,1.5,0.0,0%,0%,0%,BUF,14,0,0,0.2
C.J. Ham,FB,2,0.73,1.46,10,1,5.0,2.0,0%,0%,50%,MIN,16,3,1,0.6
Dylan Laube,RB,1,-4.67,-4.67,0,0,0.0,0.0,0%,0%,0%,LVR,9,0,0,0.0
British Brooks,RB,1,-0.34,-0.34,2,0,2.0,2.0,0%,0%,0%,HOU,5,0,0,0.4
Chigoziem Okonkwo,TE,1,0.0,0.0,17,0,17.0,0.0,0%,0%,0%,TEN,16,10,1,1.1
Charlie Kolar,TE,1,1.72,1.72,2,0,2.0,1.0,0%,0%,100%,BAL,12,3,1,0.2
Tyler Conklin,TE,1,-3.28,-3.28,0,0,0.0,0.0,0%,0%,0%,NYJ,15,14,0,0.0
Trey McBride,TE,1,0.6,0.6,2,1,2.0,3.0,0%,0%,100%,ARI,15,15,1,0.1
Cade Otton,TE,1,-1.32,-1.32,-4,0,-4.0,2.0,100%,0%,0%,TAM,14,14,0,-0.3
Tanner Hudson,TE,1,1.76,1.76,1,0,1.0,0.0,0%,0%,100%,CIN,10,0,1,0.1
Drew Sample,TE,1,-1.48,-1.48,-4,0,-4.0,0.0,100%,0%,0%,CIN,16,14,0,-0.3
Travis Kelce,TE,1,-0.09,-0.09,1,0,1.0,2.0,0%,0%,0%,KAN,16,16,0,0.1
Jermaine Jackson,WR,1,-0.88,-0.88,-1,0,-1.0,5.0,100%,0%,0%,NOR,4,0,0,-0.3
Ainias Smith,WR,1,-0.39,-0.39,2,0,2.0,1.0,0%,0%,0%,PHI,6,1,0,0.3
Chris Godwin,WR,1,1.54,1.54,2,0,2.0,1.0,0%,0%,100%,TAM,7,7,1,0.3
Olamide Zaccheaus,WR,1,0.0,0.0,8,0,8.0,0.0,0%,0%,0%,WAS,16,5,1,0.5
Garrett Wilson,WR,1,0.39,0.39,5,0,5.0,17.0,0%,0%,100%,NYJ,16,16,1,0.3
Elijah Moore,WR,1,-0.44,-0.44,1,0,1.0,0.0,0%,0%,0%,CLE,16,12,0,0.1
Tyler Boyd,WR,1,0.87,0.87,3,0,3.0,4.0,0%,0%,100%,TEN,16,8,1,0.2
Justin Jefferson,WR,1,-0.22,-0.22,3,0,3.0,0.0,0%,0%,0%,MIN,16,16,0,0.2
DeVonta Smith,WR,1,-0.47,-0.47,1,0,1.0,1.0,0%,0%,0%,PHI,13,13,0,0.1
Cedric Tillman,WR,1,-2.41,-2.41,-5,0,-5.0,0.0,100%,0%,0%,CLE,11,6,0,-0.5
